,B. Créer des sites web intéractifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42-interagir-avec-les-elements-de-formulaire-et-gerer-les-erreursrecuperer-les-valeurs-d’un-champs-val.md,Interagir avec les éléments de formulaire et gérer les erreurs.,,X,,X,,Récupérer les valeurs d’un champs : val(),Document,A faire,"http://api.jquery.com/val/


https://www.w3schools.com/jquery/html_val.asp

DEMO: https://www.w3schools.com/jquery/tryit.asp?filename=tryjquery_dom_html_set",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,43-interagir-avec-les-elements-de-formulaire-et-gerer-les-erreursempecher-la-validation-d’un-formulaire-preventdefault.md,Interagir avec les éléments de formulaire et gérer les erreurs.,,X,,X,,Empêcher la validation d’un formulaire : preventDefault(),Vidéo (screencast),A faire,"https://api.jquery.com/event.preventdefault/

https://css-tricks.com/return-false-and-prevent-default/

RAPPEL: https://www.alsacreations.com/article/lire/578-La-gestion-des-evenements-en-JavaScript.html",https://www.lynda.com/fr/jQuery-tutoriels/gestion-evenement/193138/343032-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,44-interagir-avec-les-elements-de-formulaire-et-gerer-les-erreursutiliser-le-plugin-jquery-validation-pour-une-gestion-avancee-des-erreurs.md,Interagir avec les éléments de formulaire et gérer les erreurs.,,X,,X,,Utiliser le plugin “jQuery validation” pour une gestion avancée des erreurs,Document,A faire,"https://jqueryvalidation.org/

DEMO: https://jqueryvalidation.org/files/demo/

",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,45-interagir-avec-les-elements-de-formulaire-et-gerer-les-erreursrealiser-un-formulaire-interactif.md,Interagir avec les éléments de formulaire et gérer les erreurs.,,X,,X,,Réaliser un formulaire intéractif,EXERCICE,A faire,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46-communiquer-avec-un-serveur-rest-grace-a-ajaxdefinition-d’un-serveur-rest.md,Communiquer avec un serveur REST grâce à AJAX.,X,,,,,Définition d’un serveur REST,Document,A faire,"https://fr.wikipedia.org/wiki/Representational_state_transfer

https://www.projet-plume.org/ressource/les-services-web-de-type-rest

https://openclassrooms.com/courses/utilisez-des-api-rest-dans-vos-projets-web/pourquoi-rest
",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,47-communiquer-avec-un-serveur-rest-grace-a-ajaxpresentation-d’ajax.md,Communiquer avec un serveur REST grâce à AJAX.,X,,,,,Présentation d’AJAX,Document,A faire,"https://fr.wikipedia.org/wiki/Ajax_(informatique)

https://openclassrooms.com/courses/dynamisez-vos-sites-web-avec-javascript/l-ajax-qu-est-ce-que-c-est

https://www.w3schools.com/js/js_ajax_intro.asp",https://www.lynda.com/fr/AJAX-tutoriels/Presentation-formation-AJAX-jQuery/193220/331599-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,48-communiquer-avec-un-serveur-rest-grace-a-ajaxrecuperer-des-donnees-depuis-un-serveur-rest-avec-jquery-get-getjson-et-ajax.md,Communiquer avec un serveur REST grâce à AJAX.,X,,,,,"Récupérer des données depuis un serveur REST avec jQuery : $.get , $.getJSON et $.ajax",Vidéo (screencast),A faire,"REF: http://api.jquery.com/jquery.ajax/

https://www.w3schools.com/jquery/jquery_ref_ajax.asp

https://sutterlity.gitbooks.io/apprendre-jquery/content/la_methode_ajax.html

https://openclassrooms.com/courses/un-site-web-dynamique-avec-jquery/le-fonctionnement-de-ajax

https://openclassrooms.com/courses/simplifiez-vos-developpements-javascript-avec-jquery/premiers-pas-avec-ajax

","https://www.lynda.com/fr/AJAX-tutoriels/approche-rapide-load/193220/331605-4.html

https://www.lynda.com/fr/AJAX-tutoriels/ajax-mode-abrege/193220/331616-4.html

https://www.lynda.com/fr/AJAX-tutoriels/diverses-fonctions-rappel/193220/331623-4.html

https://www.lynda.com/fr/AJAX-tutoriels/proprietes-requete/193220/331630-4.html",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,49-communiquer-avec-un-serveur-rest-grace-a-ajaxenvoyer-des-donnees-vers-un-serveur-rest-avec-jquery-post-et-ajax.md,Communiquer avec un serveur REST grâce à AJAX.,X,,,,,Envoyer des données vers un serveur REST avec jQuery : $.post et $.ajax,Vidéo (screencast),A faire,IDEM au dessus,https://www.lynda.com/fr/AJAX-tutoriels/alternatives-post-get/193220/331610-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50-communiquer-avec-un-serveur-rest-grace-a-ajaxrealiser-un-mini-player-audio-en-utilisant-l-api-de-deezer.md,Communiquer avec un serveur REST grâce à AJAX.,X,,,,,Réaliser un mini-player audio en utilisant l'API de Deezer,EXERCICE,A faire,"https://stackoverflow.com/questions/19123656/calling-deezer-api-using-ajax-jquery-datatype-json-return-null-jsonp-retur

https://stackoverflow.com/questions/23185964/how-do-i-use-the-deezer-api

",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,51-mettre-en-place-des-animations-et-effets-simplesretour-sur-le-fading-et-sliding-de-jquery.md,Mettre en place des animations et effets simples.,X,,,,,Retour sur le fading et sliding de jQuery,Document,A faire,"https://api.jquery.com/category/effects/fading/

https://www.w3schools.com/jquery/jquery_fade.asp

https://stackoverflow.com/questions/10863000/is-it-better-to-use-jquery-fadein-or-css3-animations",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,52-mettre-en-place-des-animations-et-effets-simplesanimer-des-proprietes-css-avec-animate.md,Mettre en place des animations et effets simples.,X,,,,,Animer des propriétés CSS avec animate(),Vidéo (screencast),A faire,http://api.jquery.com/animate/,"https://www.lynda.com/fr/jQuery-tutoriels/divers-modes-animation/193138/343046-4.html

https://www.lynda.com/fr/jQuery-tutoriels/Mise-place-animations/193138/343047-4.html

https://www.lynda.com/fr/jQuery-tutoriels/callbacks-apres-animation/193138/343050-4.html",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,53-mettre-en-place-des-animations-et-effets-simplesdes-animations-plus-poussees-et-performantes-avec-velocity-js.md,Mettre en place des animations et effets simples.,X,,,,,Des animations plus poussées et performantes avec “Velocity.js”,Document,A faire,"http://velocityjs.org/

https://codepen.io/collection/tIjGb/",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,54-creer-un-plugin-jquerycreer-le-squelette-de-son-plugin.md,Créer un plugin jQuery.,X,,,,,Créer le squelette de son plugin,Document,A faire,"https://openclassrooms.com/courses/developpez-votre-propre-plug-in-jquery

https://learn.jquery.com/plugins/basic-plugin-creation/",NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,55-creer-un-plugin-jqueryun-plugin-jquery-simple.md,Créer un plugin jQuery.,X,,,,,Un plugin jQuery simple,TD,A faire,IDEM au dessus,NON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,56-creer-un-plugin-jquerytransformer-la-galerie-d-image-en-plugin-reutilisable.md,Créer un plugin jQuery.,X,,,,,Transformer la galerie d'image en plugin réutilisable,EXERCICE,A faire,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,
